"rango_edad","estatura_m","sexo","peso_lbs","curso"
"Menos de 18","1.76","Masculino","155","1"
"18 a 22","1.65","Femenino","150","2"
"18 a 22","1.67","Masculino","152","1"
"Menos de 18","1.63","Femenino","132","1"
"18 a 22","1.69","Masculino","140","2"
"18 a 22","1.69","Femenino","120","2"
"Menos de 18","1.76","Femenino","132","1"
"18 a 22","1.76","Masculino","133","1"
"18 a 22","1.7","Femenino","130","2"
"Menos de 18","1.76","Masculino","159","1"
"18 a 22","1.67","Femenino","130","3"
"Menos de 18","1.63","Masculino","120","1"
"18 a 22","1.68","Femenino","150","3"
"18 a 22","1.76","Masculino","172","2"
"18 a 22","1.75","Masculino","145","3"
"18 a 22","1.66","Femenino","122","2"
"18 a 22","1.69","Femenino","150","3"
"18 a 22","1.78","Masculino","140","1"
"18 a 22","1.75","Masculino","160","3"
"18 a 22","1.6","Masculino","120","1"
"18 a 22","1.75","Masculino","170","3"
"18 a 22","1.72","Masculino","165","2"
"18 a 22","1.77","Masculino","156","2"
"18 a 22","1.71","Femenino","155","2"
"18 a 22","1.73","Masculino","159","2"
"18 a 22","1.72","Masculino","169","2"
"Mas de 22","1.78","Masculino","169","3"
"18 a 22","1.5","Masculino","150","3"
"18 a 22","1.55","Femenino","130","3"
"18 a 22","1.9","Masculino","200","3"
"Mas de 22","1.8","Masculino","190","3"
"18 a 22","1.78","Masculino","160","3"
"18 a 22","1.7","Femenino","130","3"
"18 a 22","1.45","Femenino","100","3"
"18 a 22","1.95","Masculino","195","3"
"18 a 22","1.4","Femenino","110","3"
"18 a 22","1.88","Masculino","179","3"
"18 a 22","1.85","Masculino","200","3"
"18 a 22","1.6","Masculino","110","3"
"18 a 22","1.79","Masculino","150","3"
"Mas de 22","1.8","Masculino","180","3"
"18 a 22","1.7","Femenino","150","3"
"18 a 22","1.69","Femenino","135","3"
"18 a 22","1.76","Masculino","164","3"
"18 a 22","1.66","Masculino","140","3"
"18 a 22","1.54","Masculino","140","3"
